,WRIST_x,WRIST_y,THUMB_CMC_x,THUMB_CMC_y,THUMB_MCP_x,THUMB_MCP_y,THUMB_IP_x,THUMB_IP_y,THUMB_TIP_x,THUMB_TIP_y,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_TIP_x,RING_FINGER_TIP_y,PINKY_MCP_x,PINKY_MCP_y,PINKY_PIP_x,PINKY_PIP_y,PINKY_DIP_x,PINKY_DIP_y,PINKY_TIP_x,PINKY_TIP_y,GESTURE
2733,0.4373838007450104,0.7419484853744507,0.4295547306537628,0.6855952739715576,0.43287962675094604,0.6213458776473999,0.4304569661617279,0.5704421997070312,0.4225497841835022,0.5265743136405945,0.4869256317615509,0.5995081663131714,0.5163857936859131,0.5576227307319641,0.5362414121627808,0.5338036417961121,0.5544171333312988,0.5137201547622681,0.4957553446292877,0.6206527948379517,0.5291094779968262,0.5774462223052979,0.5513713359832764,0.550117015838623,0.5714768171310425,0.5254104137420654,0.49866706132888794,0.6497153043746948,0.5304390788078308,0.610696017742157,0.5501106977462769,0.5857564210891724,0.5672220587730408,0.5616380572319031,0.49643397331237793,0.6846420764923096,0.5214808583259583,0.6584731936454773,0.5371078252792358,0.6354800462722778,0.5504243969917297,0.6124076247215271,6.0
2734,0.4355352222919464,0.7516703605651855,0.4285602867603302,0.6939420700073242,0.43311217427253723,0.6283384561538696,0.4320243299007416,0.576508641242981,0.4249922037124634,0.5315274596214294,0.48792940378189087,0.6083371639251709,0.5192405581474304,0.569301962852478,0.5395457744598389,0.5464956760406494,0.5580607652664185,0.526505172252655,0.4966631233692169,0.6306018829345703,0.5318461656570435,0.5897786021232605,0.5551543235778809,0.5632643103599548,0.5759496092796326,0.5387987494468689,0.49911338090896606,0.6607100367546082,0.5323145389556885,0.6236400008201599,0.5529871582984924,0.5998771786689758,0.5708028078079224,0.5763518810272217,0.49632930755615234,0.696635901927948,0.5222780704498291,0.6712978482246399,0.5385103821754456,0.648544430732727,0.5523326992988586,0.6256770491600037,6.0
2735,0.43566834926605225,0.7610257863998413,0.42793530225753784,0.7005919814109802,0.4317914843559265,0.6338168382644653,0.4307422637939453,0.5810052752494812,0.42528560757637024,0.5354933142662048,0.488044798374176,0.6152201890945435,0.5201982855796814,0.5757845640182495,0.5409656167030334,0.5533967614173889,0.5597406029701233,0.5340808629989624,0.4969632923603058,0.6379691362380981,0.5325859189033508,0.5971360206604004,0.5562865138053894,0.5710422992706299,0.5773371458053589,0.5476601123809814,0.49951568245887756,0.6683773398399353,0.5335125923156738,0.6315180063247681,0.554478108882904,0.6079381704330444,0.5726785063743591,0.584934651851654,0.4970865845680237,0.7044863700866699,0.5236072540283203,0.6798513531684875,0.5402308106422424,0.6585034132003784,0.5548017621040344,0.6371519565582275,6.0
2736,0.4343351721763611,0.7650187611579895,0.42728397250175476,0.7028071880340576,0.43131646513938904,0.63630211353302,0.4296075403690338,0.5831339359283447,0.4236603379249573,0.5365359783172607,0.48848646879196167,0.6189509630203247,0.5213314890861511,0.5801317095756531,0.5424559712409973,0.5576306581497192,0.5615186095237732,0.5382681488990784,0.49727731943130493,0.6421247124671936,0.5339388251304626,0.6015869379043579,0.5582726001739502,0.5752732157707214,0.5799229741096497,0.5515328049659729,0.49949583411216736,0.6728518605232239,0.5348226428031921,0.6364256739616394,0.5565690994262695,0.6129262447357178,0.5753786563873291,0.5896333456039429,0.4965129792690277,0.7094715237617493,0.523941159248352,0.6865122318267822,0.5411747097969055,0.6650826930999756,0.5559996366500854,0.6429024934768677,6.0
2737,0.4315387010574341,0.766233503818512,0.42629846930503845,0.7016591429710388,0.432811975479126,0.6350795030593872,0.43244826793670654,0.581437885761261,0.42725101113319397,0.5345647931098938,0.49127158522605896,0.622558057308197,0.5247697234153748,0.5858514904975891,0.5464996695518494,0.564754843711853,0.5664384365081787,0.5466013550758362,0.49999791383743286,0.6476447582244873,0.5379464030265808,0.6101545691490173,0.5625698566436768,0.5850675702095032,0.5846348404884338,0.5623244047164917,0.501947820186615,0.6788660883903503,0.5380763411521912,0.6461012363433838,0.5597366690635681,0.6233595013618469,0.5784158706665039,0.6008542776107788,0.4983406066894531,0.7153737545013428,0.5264619588851929,0.6948854327201843,0.5439857244491577,0.6749826669692993,0.5590845942497253,0.6536873579025269,6.0
2738,0.42890217900276184,0.7675718069076538,0.42550230026245117,0.7028706669807434,0.4335501492023468,0.6364895701408386,0.4343230426311493,0.5825284719467163,0.4307368993759155,0.533297061920166,0.49335041642189026,0.62818843126297,0.5274193286895752,0.5930612087249756,0.5493924617767334,0.5719364285469055,0.5699119567871094,0.5541098117828369,0.5010566115379333,0.6557055711746216,0.5399439930915833,0.619356632232666,0.565485417842865,0.5952168107032776,0.5889089703559875,0.5735670924186707,0.5014365315437317,0.6893039345741272,0.5382479429244995,0.6572384238243103,0.5608282685279846,0.6339898109436035,0.5811896920204163,0.6108189225196838,0.4954218566417694,0.7273926734924316,0.5242162942886353,0.7075321674346924,0.5430206060409546,0.6870095729827881,0.5596230626106262,0.665561854839325,6.0
2739,0.4261467456817627,0.7721877694129944,0.4258735179901123,0.705839216709137,0.43676191568374634,0.6412540078163147,0.43970638513565063,0.585867166519165,0.43599218130111694,0.5345581769943237,0.49578967690467834,0.641522228717804,0.5322357416152954,0.6117227673530579,0.5561509132385254,0.5934388041496277,0.5786479711532593,0.5775865316390991,0.5013319849967957,0.6717225313186646,0.5433042049407959,0.6417443156242371,0.5708665251731873,0.6209715604782104,0.5968063473701477,0.6013104915618896,0.499299556016922,0.706512987613678,0.5387077331542969,0.6802084445953369,0.5636025071144104,0.6606176495552063,0.5857070088386536,0.640354335308075,0.4913462996482849,0.7449067234992981,0.5223300457000732,0.7307774424552917,0.5431890487670898,0.7137141227722168,0.5615329146385193,0.6947433352470398,6.0
2740,0.42476847767829895,0.7809760570526123,0.42595693469047546,0.7143970131874084,0.4388762414455414,0.649452269077301,0.4433287978172302,0.5931113362312317,0.4413726329803467,0.5413945913314819,0.4965818226337433,0.6590054035186768,0.5348266363143921,0.6303648948669434,0.5604492425918579,0.6137298345565796,0.5841628313064575,0.6013239622116089,0.5019661784172058,0.6895853281021118,0.5448524951934814,0.6604080200195312,0.5739546418190002,0.6421039700508118,0.6005696654319763,0.6272059082984924,0.5001090168952942,0.7246665954589844,0.5407469272613525,0.699729323387146,0.5669918656349182,0.6825938820838928,0.5901068449020386,0.6664091348648071,0.4924822151660919,0.7626522183418274,0.524265706539154,0.7498946785926819,0.5463881492614746,0.7356594800949097,0.5660815238952637,0.7207117080688477,6.0
2741,0.42791086435317993,0.783548891544342,0.4299013912677765,0.7196562886238098,0.4447142779827118,0.6573725342750549,0.4501175582408905,0.600419282913208,0.4477982223033905,0.5487558841705322,0.5076902508735657,0.6698972582817078,0.5461310148239136,0.6464574933052063,0.5713798999786377,0.6329321265220642,0.5955494046211243,0.623020350933075,0.5130579471588135,0.7016915678977966,0.5574131608009338,0.6773127317428589,0.5872982740402222,0.6623580455780029,0.6155306100845337,0.6504920125007629,0.5096438527107239,0.7371257543563843,0.5517663359642029,0.7172882556915283,0.5785452127456665,0.7044380903244019,0.6031914353370667,0.6915993094444275,0.4994834065437317,0.7754785418510437,0.5315079092979431,0.7671295404434204,0.5532103776931763,0.7564436793327332,0.5731543898582458,0.743956446647644,6.0
2742,0.4352850317955017,0.7885450720787048,0.4354259967803955,0.7238105535507202,0.45233041048049927,0.6588991284370422,0.46046626567840576,0.6003111600875854,0.45814770460128784,0.5460919737815857,0.5167608857154846,0.6751030087471008,0.558641254901886,0.6513324975967407,0.5870340466499329,0.6407079100608826,0.6135393977165222,0.6359438300132751,0.52243971824646,0.7087352275848389,0.5702518224716187,0.6837256550788879,0.6033617854118347,0.671075165271759,0.634319543838501,0.6637317538261414,0.5185239315032959,0.7468042373657227,0.56312096118927,0.7243766188621521,0.5915261507034302,0.7137027978897095,0.6178334951400757,0.705385684967041,0.5075576305389404,0.7882274985313416,0.5396875143051147,0.7775741815567017,0.5616818070411682,0.766463041305542,0.5822363495826721,0.7553738951683044,6.0
